O.P. NÚMERO,GRUPO DE ENTREGA,ITEM O.P. RESUMEN,TIPO DE MATERIAL,FECHA DE ENTREGA TELAS,MES,MARCA,ESTADO,CANT. ORDENADA,CANT. COMPLETA,CANT. PENDIENTE
MOP-00000144,009 - 1MAR1                                   ,35011291 - IND03 - 023  RETROMOM TIRO ALTO E INDIGO T-20,005 - DENIM                                   ,2026-06-05,003 - MARZO                                   ,003 - YOYO                                    ,Comprometido,50,0,50
MOP-00000140,999 - NO APLICA                               ,35002221 - IND03 - 021  TEJANO TIRO ALTO ESE INDIGO T-16,005 - DENIM                                   ,2026-06-02,003 - MARZO                                   ,003 - YOYO                                    ,Comprometido,100,0,100
MOP-00000089,029 - 3AGO1                                   ,YY0000292 - 12-1706 - 024  TSHIRT  MANGA CORTA ROSADO T-22,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,188,0,188
MOP-00000103,,35050249 - 19-4004 - 022  CAMISETA MC TP ESEN NEGRO T-18,001 - TEJIDO PUNTO                            ,2026-06-04,001 - ENERO                                   ,003 - YOYO                                    ,Comprometido,200,0,200
MOP-00000114,031 - 3AGO3                                   ,YY0000308 - 11-0602 - 021  T-SHIRT MANGA CORTA CREMA T-16,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,600,0,600
MOP-00000145,006 - 1FEB2                                   ,35052249 - 11-0602 - 023  CAMISETA T-SHIRT OVE CREMA T-20,001 - TEJIDO PUNTO                            ,2026-06-01,002 - FEBRERO                                 ,003 - YOYO                                    ,Comprometido,150,0,150
MOP-00000161,031 - 3AGO3                                   ,YY0000321 - 19-4024 - 022  SHORT CON SESGOS AZUL T-18,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,283,0,283
MOP-00000162,031 - 3AGO3                                   ,YY0000848 - 19-4004 - 023  VESTIDO TIRAS ABERT NEGRO T-20,002 - TEJIDO PLANO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,188,0,188
MOP-00000154,034 - 3SEP2                                   ,YY0000277 - 11-0602 - 023  MAXIRETRO TIRO ALTO CREMA T-20,002 - TEJIDO PLANO                            ,2026-06-03,009 - SEPTIEMBRE                              ,003 - YOYO                                    ,Comprometido,300,0,300
MOP-00000145,006 - 1FEB2                                   ,35052249 - 11-0602 - 020  CAMISETA T-SHIRT OVE CREMA T-14,001 - TEJIDO PUNTO                            ,2026-06-01,002 - FEBRERO                                 ,003 - YOYO                                    ,Comprometido,200,0,200
MOP-00000157,035 - 3SEP3                                   ,YY0000274 - 11-0602 - 022  MOMJEAN TIRO MEDIO CREMA T-18,002 - TEJIDO PLANO                            ,2026-06-03,009 - SEPTIEMBRE                              ,003 - YOYO                                    ,Comprometido,356,0,356
MOP-00000119,029 - 3AGO1                                   ,YY0000294 - 12-1706 - 023  TOP MANGA CORTA ESTA ROSADO T-20,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,371,0,371
