MES,MES ADELANTO,GRUPO DE ENTREGA,MARCA,TIPO DE LINEA,TIPO DE MATERIAL,REFERENCIA,DESC. ITEM,TIPO DE ABASTECIMIENTO
009 - SEPTIEMBRE                              , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10046923,FALDA T/ALTO CORTA LAV CLARO CON CORTES,
007 - JULIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10046934,CARGO T/ALTO TEÑIDO BOTA AMPLIA,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10047918,LEVANTACOLA T/ALTO LAV MEDIO OSC APLIQU,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10047922,MOM JEAN T/ALTO LAV CLARO CON ROTOS,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10048834,PANTALÓN CARGO T/ALTO COLOR,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10048918,LEVANTACOLA T/ALTO LAV MEDIO CON BOLSIL,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10048923,FALDA T/ALTO LAV CLARO CORTA CON TELA D,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10049912,LIPOJEAN T/ALTO LAV MEDIO CON DETALLE E,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10049918,LEVANTACOLA T/ALTO LAV MEDIO CON INSUMO,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10049923,FALDA T/ALTO LAV OSCURO PRETINA TRASLAD,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10050812,LIPOJEAN T/ALTO LAV OSCURO SIN BOLSILLO,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10050818,LEVANTACOLA T/ALTO NEGRO EFECTO CUERO,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10050823,FALDA T/ALTO LAV MEDIO CORTA CON RUEDO,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10051818,LEVANTACOLA T/ALTO PLATA TELA CON EFECT,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10051823,FALDA T/ALTO CORTA NEGRA  EN TELA EFECT,
010 - OCTUBRE                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10051855,RETROJEAN T/ALTO LAV CLARO SIN PRETINA,
006 - JUNIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10051934,PANTALON CARGO T/ALTO MARFIL CON BOLSIL,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10052818,LEVANTACOLA T/ALTO LAV MEDIO DETALLE EN,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10052823,FALDA TIRO ALTO EFECTO BRILLO,
006 - JUNIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10052834,PANTALON CARGO T/ALTO LAV MEDIO BOTA AM,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10053818,LEVANTACOLA T/ALTO LAV OSC CON APLIQUE,
004 - ABRIL                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10053823,FALDA T/ALTO LAV MEDIO LARGA CON ABERTU,
006 - JUNIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10053834,PANTALON CARGO T/MEDIO COLOR VERDE OSCU,
004 - ABRIL                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10054823,FALDA T/ALTO COLOR CON DETALLE EN DELAN,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,B11774914,CAMISETA MC ESTAMPADA COLCAFÉ,
007 - JULIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10054834,PANTALON CARGO T/ALTO  ARENA BOTA AMPLI,
001 - ENERO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10054918,LEVANTACOLA T/ALTO  LAV MEDIO RELOJERA,
001 - ENERO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10055818,LEVANTACOLA T/ALTO LAV MEDIO CON ACCES,
006 - JUNIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10055823,FALDA T/ALTO COLOR EN COURDUROY,
008 - AGOSTO                                  , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10055934,PANTALON CARGO T/ALTO LAV CLARO BOTA RE,
008 - AGOSTO                                  , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10055955,RETROJEAN T/ALTO LAV MEDIO BOTA AMPLIA,
009 - SEPTIEMBRE                              , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10056823,FALDA T/ALTO ANIMAL PRINT,
009 - SEPTIEMBRE                              , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10056834,PANTALON CARGO T/ALTO  ARENA CON CHARRE,
001 - ENERO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10056918,LEVANTACOLA T/ALTO LAV OSCURO CON BOLSI,
001 - ENERO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10057834,CARGO TIRO ALTO CON  BOLSILLOSEN COSTAD,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10057916,ELASTIK PREMIUM T/ALTO CON BLLO COSTADO,
002 - FEBRERO                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10057918,LEVANTACOLA T/ALTO LAV OSCURO DETALLE E,
011 - NOVIEMBRE                               , ,041 - 4NOV1                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,MS0004680,BLUSA MANGA 3/4  DETALLE BORDADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
011 - NOVIEMBRE                               , ,042 - 4NOV2                                   ,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0004714,TEJANO FLARE T/ALTO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10057923,FALDA T/ALTO LAV MEDIO CON HEBILLA,
004 - ABRIL                                   , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10058818,LEVANTACOLA T/ALTO CON ABERTURA LATERAL,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10058823,FALDA T/ALTO CORTA NEGRA CON REMACHES E,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10058916,ELASTIK PREMIUM T/ALTO LAV CLARO DETALL,
009 - SEPTIEMBRE                              , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10058934,PANTALON CARGO T/MEDIO BLANCO BOTA AMPL,
009 - SEPTIEMBRE                              , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10058955,RETROJEAN T/ALTO LAVADO CLARO BOTA RECT,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10059823,FALDA T/ALTO CORTA LAV OSCURO CON TABLA,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10059834,PANTALON CARGO TIRO MEDIO BOTA AMPLIA T,
004 - ABRIL                                   , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10059918,LEVANTACOLA T/ALTO NEGRO CON CIERRE EN,
010 - OCTUBRE                                 , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10060834,PANTALON CARGO T/ALTO COLOR BOLSILLO EN,
006 - JUNIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10060855,RETROJEAN T/ALTO EFECTO CUERO BOTA RECT,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10060916,ELASTIK  PREMIUM T/ALTO BOTA TUBO,
006 - JUNIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10061916,ELASTIK PREMIUM T/ALTO LAV MEDIO BOTA T,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10061934,PANTALON CARGO T/ALTO LAV MEDIO CORTES,
006 - JUNIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10061955,RETROJEAN T/A LAVADO MEDIO BOTA ANCHA,
008 - AGOSTO                                  , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10062816,ELASTIK PREMIUM T/ALTO LAV OSCURO BOTA,
006 - JUNIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10062855,RETROJEAN T/ALTO COLOR CON BOLSILLOS,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10062934,PANTALON CARGO T/ALTO COLOR  DETALLE EN,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10063855,RETROJEAN T/ALTO LAV MEDIO DETALLE EN C,
010 - OCTUBRE                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10063916,ELASTIK PREMIUM T/ALTO LAV CLARO BOTA T,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10063934,PANTALON CARGO T/ALTO ARENA CON TAPAS E,
010 - OCTUBRE                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10064916,ELASTIK PREMIUM T/ALTO LAV OSCURO BOTON,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10064934,PANTALON CARGO T/ALTO COLOR CON ELÁSTIC,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10065816,ELASTIK PREMIUM T/ALTO CON DETALLE  EN,
002 - FEBRERO                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10065834,PANTALON CARGO T/ALTO COLOR CON CHARRET,
006 - JUNIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10065955,RETROJEAN T/MEDIO LAV MEDIO CLARO CON C,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10066816,ELASTIK PREMIUM  T/ALTO LAV MEDIO BOTA,
004 - ABRIL                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10066834,PANTALON CARGO T/ALTO TEÑIDO CIERRE EN,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10067816,ELASTIK PREMIUM T/ALTO LAVADO MEDIO BOT,
006 - JUNIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10067834,PANTALON CARGO T/MEDIO EFECTO NATURAL B,
010 - OCTUBRE                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10067855,RETROJEAN T/ALTO COLOR BOTA AMPLIA,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10068834,PANTALON CARGO T/ALTO LAV MEDIO CON DET,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10068916,ELASTIK  PREMIUM T/ALTO LAV OSCURO 5 BO,
008 - AGOSTO                                  , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10069834,PANTALON CARGO T/BAJO LAV MEDIO CON BOL,
001 - ENERO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10069855,RETROJEAN T/ALTO TEÑIDO BLANCO BOTA AMP,
002 - FEBRERO                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10069916,ELASTIK PREMIUM T/ALTO LAV MEDIO OSCURO,
011 - NOVIEMBRE                               , ,047 - 4DIC3                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,MS0005068,TOP MANGA CORTA CON CORTE EN FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
011 - NOVIEMBRE                               , ,044 - 4NOV4                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,MS0005103,BODY MANGA LARGA  RECOGIDO FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
011 - NOVIEMBRE                               , ,043 - 4NOV3                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,MS0005126,FALDA SHORT T/ALTO COLOR NEGRO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
003 - MARZO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10070816,ELASTIK PREMIUM T/ALTO LAVADO OSCURO SO,
009 - SEPTIEMBRE                              , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10070834,PANTALÓN CARGO T/ALTO NEGRO,
008 - AGOSTO                                  , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10070855,RETROJEAN T/BAJO LAV CLARO CON DESGASTE,
010 - OCTUBRE                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10071855,RETROJEAN T/ALTO LAV CLARO CON CORDON E,
003 - MARZO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10071916,ELASTIK PREMIUM T/ALTO LAV  OSCURO BOTA,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10071934,PANTALON CARGO T/ALTO LAV MEDIO OSCURO,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10072834,PANTALON CARGO T/ALTO COLOR CON BOLSILL,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10072916,ELASTIK PREMIUM T/ALTO LAV MEDIO PINZAS,
009 - SEPTIEMBRE                              , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10072955,RETROJEAN T/ALTO LAV CLARO CON DESGASTE,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10073816,ELASTIK  PREMIUM T/ALTO LAV MEDIO CON A,
009 - SEPTIEMBRE                              , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10073855,RETROJEAN T/ALTO LAV  MEDIO OSCURO CON,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10073934,PANTALON CARGO T/ALTO LAV CLARO CON BOL,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,MS0005143,C,
001 - ENERO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10074834,PANTALON CARGO T/ALTO BLANCO BOTA AMPLI,
001 - ENERO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10075834,PANTALON CARGO T/ALTO BLANCO DELANTERO,
010 - OCTUBRE                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10075855,RETROJEAN T/ALTO LASER ESTRELLAS,
007 - JULIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10075916,ELASTIK PREMIUM T/ALTO LAV OSCURO SIN B,
008 - AGOSTO                                  , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10076816,ELASTIK PREMIUM T/ALTO LAV MEDIO OSCURO,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10076855,RETROJEAN T/ALTO  NEGRO TELA EFECTO CUE,
002 - FEBRERO                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10076934,PANTALON CARGO T/ALTO LAV MEDIO CON COR,
009 - SEPTIEMBRE                              , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10077816,ELASTIK PREMIUM  T/BAJO LAV MEDIO OSCUR,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10077855,RETROJEAN T/ALTO LAV CLARO EFECTO BRIL,
004 - ABRIL                                   , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10077934,PANTALON CARGO T/ALTO LAVADO OSCURO,
010 - OCTUBRE                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10078816,ELASTIK PREMIUM T/MEDIO LAV OSCURO CON,
012 - DICIEMBRE                               , ,045 - 4DIC1                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10078955,RETROJEAN T/ALTO LAV OSCURO CON CORREA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
005 - MAYO                                    , ,020 - 2MAY4                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,X10098855,RETROJEAN T/ALTO LAV MEDIO CON DETALLE E,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
001 - ENERO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10079816,ELASTIK PREMIUM T/ALTO LAV OSCURO BOTA,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10079855,RETROJEAN T/DESCADERADO NEGRO BOTA AMPL,
001 - ENERO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10080855,RETROJEAN DESCADERADO LAV CLARO DETALLE,
001 - ENERO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10081955,RETROJEAN T/ALTO LAV OSCURO BOTA RECTA,
002 - FEBRERO                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10082955,RETROJEAN  T/ALTO LAV CLARO CON CORREA,
002 - FEBRERO                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10083955,RETROJEAN T/ALTO COLOR,
002 - FEBRERO                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10084955,RETROJEAN T/ALTO COLOR BOTA ANCHA,
004 - ABRIL                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10085855,RETROJEAN T/ALTO BLANCO CON CORTES EN C,
004 - ABRIL                                   , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10086855,RETROJEAN T/ALTO NEGRO CON CORTES LATER,
001 - ENERO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10101905,TORERO  TIRO ALTO LAV. OSCURO TIPO CHIN,
006 - JUNIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10106901,PANTALON T/ALTO COLOR CORTE EN FRENTE,
007 - JULIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10107801,EJECUTIVO T/ALTO LAV MEDIO OSC CON PRET,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,X11779814,CAMISETA MC RUEDO GLOBO,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,10109901,PANTALON T/ALTO COLOR CON CHARRETERAS E,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10111914,ESCULTOR PREMIUM T/ALTO LAVADO MEDIO OS,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10112914,ESCULTOR T/ALTO LAV CLARO CON CORREAS E,
006 - JUNIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10114914,ESCULTOR T/ALTO LAV OSCURO DETALLE EN P,
007 - JULIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10115914,ESCULTOR T/A CON CORREAS EN DENIM LAV M,
008 - AGOSTO                                  , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10116914,ESCULTOR T/ALTO LAV OSCURO DOBLE PRETIN,
010 - OCTUBRE                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10117914,ESCULTOR T/ALTO LAV OSCURO BOTA TUBO,
010 - OCTUBRE                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10118914,ESCULTOR PREMIUM T/ALTO NEGRO DETALLE E,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,10119914,ESCULTOR T/ALTO MARFIL CHARRETERAS EN P,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10120914,ESCULTOR T/ALTO LAV MEDIO CON CINTURON,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10121814,ESCULTOR T/ALTO LAV MEDIO SIN BOLSILLOS,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10121817,REDUCTOR T/ALTO GRIS BOTA TUBO LARGO ES,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10122814,ESCULTOR T/ALTO LAV MEDIO OSCURO DETALL,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10123914,ESCULTOR PREMIUM T/ALTO  NEGRO BOTA TUB,
002 - FEBRERO                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10124914,ESCULTOR T/ALTO OSCURO CON HILO CONTRAS,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10125817,REDUCTOR T/ALTO  BOTA TUBO CON ROTOS,
002 - FEBRERO                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10125914,ESCULTOR PREMIUM T/ALTO LAV OSCURO  BOT,
003 - MARZO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10126914,ESCULTOR T/ALTO LAV MEDIO CON DETALLE E,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10127914,ESCULTOR PREMIUM T/ALTO LAV MEDIO SIN B,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10128914,ESCULTOR T/ALTO ARENA CON DETALLE EN  P,
006 - JUNIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10129814,ESCULTOR T/ALTO LAV MEDIO  CORTES EN PR,
004 - ABRIL                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10129917,REDUCTOR PREMIUM T/ ALTO NEGRO CON DETA,
007 - JULIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10130814,ESCULTOR T/ALTO LAV MEDIO CON ACCESORIO,
007 - JULIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10130903,BERMUDA T/ALTO COLOR CON BOLSILLOS EN C,
009 - SEPTIEMBRE                              , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10131814,ESCULTOR T/ALTO LAV OSCURO SIN BOLSILLO,
008 - AGOSTO                                  , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10131903,BERMUDA T/ALTO LAV MEDIO OSCURO CON ABE,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10131917,REDUCTOR PREMIUM T/ALTO LAV MEDIO BOLSI,
009 - SEPTIEMBRE                              , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10132803,BERMUDA TIRO ALTO LAVADO GRIS,
010 - OCTUBRE                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10132814,ESCULTOR T/ALTO LAV MEDIO OSCURO BOTA T,
010 - OCTUBRE                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10132917,REDUCTOR T/ALTO LAV MEDIO BOTA TUBO,
009 - SEPTIEMBRE                              , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10133903,BERMUDA T/ALTO LAV MEDIO CON BOLSILLOS,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10133914,ESCULTOR T/ALTO LAV MEDIO CON APLIQUES,
002 - FEBRERO                                 , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10133917,CAPRI REDUCTOR T/ALTO LAV MEDIO BOTA D,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10134803,BERMUDA T/ALTO BOTA DESFLECADA,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10134814,ESCULTOR T/ALTO LAV MEDIO OSCURO BOTA F,
008 - AGOSTO                                  , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10134905,TORERO T/ALTO LAV MEDIO CON BOLSILLOS,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10135802,CAPRI T/ALTO LAV OSCURO CON BOLSILLOS,
009 - SEPTIEMBRE                              , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10135805,TORERO T/ALTO LAV MEDIO CON BOTA DOBLAD,
011 - NOVIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10135814,ESCULTOR T/ALTO LAV MEDIO CON BORDADO,
012 - DICIEMBRE                               , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10135903,BERMUDA T/ALTO CON BOTA DOBLADA,
005 - MAYO                                    , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10136802,CAPRI PREMIUM T/ALTO NEGRO CON ABERTURA,
001 - ENERO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10136803,BERMUDA T/ALTO LAV OSCURO FIT AMPLIO,
001 - ENERO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,10136814,ESCULTOR T/ALTO LAV OSCURO,
