MES,MES ADELANTO,GRUPO DE ENTREGA,MARCA,TIPO DE LINEA,TIPO DE MATERIAL,REFERENCIA,DESC. ITEM,TIPO DE ABASTECIMIENTO
011 - NOVIEMBRE                               , ,041 - 4NOV1                                   ,001 - STOP                                    ,004 - ESENCIAL MODA                           ,001 - TEJIDO PUNTO                            ,MS0004691,T-SHIRT MANGA CORTA EST  ESENCIAL  MODA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
011 - NOVIEMBRE                               , ,042 - 4NOV2                                   ,001 - STOP                                    ,003 - OPORTUNIDADES                           ,001 - TEJIDO PUNTO                            ,MS0004692,T-SHIRT MANGA CORTA ESTAMPADA OPORT,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000885,CAMISETA MANGA CORTA A RAYAS ESTAMPADA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,MS0004814,EJECUTIVO ESENCIAL BOTA RECTA,
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,ST0000315,RETROJEAN TIRO ALTO LAVADO CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
004 - ABRIL                                   , ,016 - 2ABR4                                   ,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,B10088855,RETROJEAN T/ALTO NEGRO CON CORTES LATERA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000299,TOP MANGA LARGA CON FILETE EXPUESTO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000300,CAMISETA MANGA CORTA CUELLO EN V,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000301,BODY MANGA LARGA TELA EN ENCAJE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000302,TOP MANGA SISA CUELLO DRAPEADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              , ,033 - 3SEP1                                   ,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0000886,CAMISA MANGA LARGA CORAZONES BORDADOS,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              ,08-AGOSTO,033 - 3SEP1                                   ,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000887,CAMISA MANGA 3/4 BOLSILLO CORAZÓN,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
010 - OCTUBRE                                 ,08-AGOSTO,038 - 4OCT2                                   ,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0000888,BLUSA MANGA SISA CON CORTES,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              , ,033 - 3SEP1                                   ,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0000889,BLUSA MANGA SISA CORAZON EN POSTERIOR,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              , ,033 - 3SEP1                                   ,001 - STOP                                    ,004 - ESENCIAL MODA                           ,001 - TEJIDO PUNTO                            ,ST0000890,CAMISETA MANGA CORTA ESTAMPADO FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
